id;nombre;nombre_tipo_articulo;id_familia;nombre_familia;id_marca;nombre_marca;moneda;nombre_moneda;tipo_igv;nombre_tipo_igv;nombre_unidad_medida;valor_compra_base;valor_venta_base;codigo_sunat;descripcion;especificacion_tecnica;stock_minimo;anio_garantia;stock_actual_empresa;formula;editar;eliminar
1;TARJETA VIDEO ASUS RX550-2GB 1183MHZ 2GDDR5 5120X2880 128BIT DP/DVI/HDMI PCIE 3.0;PRODUCTO;1;TARJETAS TODAS;1;ASUS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;12.00;43210000;<p>estamos mejorando esta explicacion</p><ul><li>uno</li><li>dos<ul><li>tres<br>asdads</li></ul></li></ul>;asdasd;-100000;1;3.000;;;
2;CABLE PARALELO IMPRESORA 25PIES 7MTRS;PRODUCTO;2;PRODUCTOS NO UTILIZ.;2;GENERICO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;5.00;43210000;;;-100000;1;0.000;;;
3;CABLE USB 2.0 6PIES 1.8MTRS USB;PRODUCTO;2;PRODUCTOS NO UTILIZ.;2;GENERICO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;1.00;43210000;;;-100000;1;0.000;;;
4;CABLE PODER NEGRO;PRODUCTO;3;CABLE;2;GENERICO;12;SOLES;14;GRAVADO;UNIDAD;5.00;4.00;43210000;;;-100000;1;2087.000;;;
5;ANTICIPO;SERVICIO;1;TARJETAS TODAS;1;ASUS;12;SOLES;14;GRAVADO;UNIDAD;0.00;0.00;43210000;;;-100000;0;-490.000;;;
6;CABLE USB PRINTER A-MALE PARA B-MALE 6FT;PRODUCTO;2;PRODUCTOS NO UTILIZ.;0;;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;1.40;43210000;;;-100000;1;0.000;;;
8;CABLE UTP WIRETEK CAT 5E;PRODUCTO;2;PRODUCTOS NO UTILIZ.;0;;13;DÓLARES;14;GRAVADO;METROS;11.80;0.20;43210000;;;-100000;1;0.000;;;
9;DISKETTE IMATION CJAX10 UNID 3.5' HD FORMAT;PRODUCTO;2;PRODUCTOS NO UTILIZ.;0;;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;1.99;43210000;;;-100000;1;0.000;;;
11;CAMARA DIGITAL GENIUS DSC-1.3 M TFTI;PRODUCTO;2;PRODUCTOS NO UTILIZ.;3;GENIUS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;119.99;43210000;;;-100000;1;0.000;;;
12;CAMARA DIGITAL GENIUS 08MB SMART300 V2;PRODUCTO;2;PRODUCTOS NO UTILIZ.;3;GENIUS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;47.00;43210000;;;-100000;1;0.000;;;
13;WEB CAM GENIUS LAPTOP V2 NEGRA SECUR;PRODUCTO;2;PRODUCTOS NO UTILIZ.;3;GENIUS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;15.00;43210000;;;-100000;1;0.000;;;
14;WEB CAM LOGITECH EXPRESS QUICKCAM MOD.VUB2;PRODUCTO;2;PRODUCTOS NO UTILIZ.;4;LOGITECH;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;35.00;43210000;;;-100000;1;0.000;;;
15;WEB CAM GENIUS EXPRESS V2 BLANCA;PRODUCTO;2;PRODUCTOS NO UTILIZ.;3;GENIUS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;15.00;43210000;;;-100000;1;0.000;;;
16;CAMARA DIGITAL GENIUS G-SHOT P611;PRODUCTO;2;PRODUCTOS NO UTILIZ.;3;GENIUS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;135.00;43210000;;;-100000;1;0.000;;;
18;"MONITOR SAMSUNG 15"" NEGRO";PRODUCTO;2;PRODUCTOS NO UTILIZ.;5;SAMSUNG;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;117.00;43210000;;;-100000;1;0.000;;;
19;WEB CAM DELUXE S865, USB;PRODUCTO;2;PRODUCTOS NO UTILIZ.;6;DELUXE;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;7.00;43210000;;;-100000;1;0.000;;;
20;CASE S.POWER ATX (CAT-601B-G4) P4;PRODUCTO;2;PRODUCTOS NO UTILIZ.;2;GENERICO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;33.00;43210000;;;-100000;1;0.000;;;
21;CASE S.POWER ATX (CAT-602B-G10) P4;PRODUCTO;2;PRODUCTOS NO UTILIZ.;2;GENERICO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;33.00;43210000;;;-100000;1;0.000;;;
22;CASE S.POWER ATX (CAT-6042-P4)P4;PRODUCTO;2;PRODUCTOS NO UTILIZ.;2;GENERICO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;30.00;43210000;;;-100000;1;0.000;;;
23;CASE S.POWER ATX (CAT-6092-CA) P4;PRODUCTO;2;PRODUCTOS NO UTILIZ.;2;GENERICO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;30.00;43210000;;;-100000;1;0.000;;;
26;CASE NEW VISION ATX NV FF+6 350W P4;PRODUCTO;2;PRODUCTOS NO UTILIZ.;0;;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;30.00;43210000;;;-100000;1;0.000;;;
27;CASE NEW VISION ATX NV TL-2 350W P4;PRODUCTO;2;PRODUCTOS NO UTILIZ.;0;;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;30.00;43210000;;;-100000;1;0.000;;;
28;CONECTOR C/CAPUCHA;PRODUCTO;2;PRODUCTOS NO UTILIZ.;0;;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;0.20;43210000;;;-100000;1;0.000;;;
29;CASE DELUXE GM003W BLANCO;PRODUCTO;2;PRODUCTOS NO UTILIZ.;6;DELUXE;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;27.00;43210000;;;-100000;1;0.000;;;
